173	174	0	0	0		17014.4	2	1	1	1	0	0	1	0			0	0	0	0	17014.4	1	187.175.37.178	dsl-187-175-37-178-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-07
174	175	0	0	0		10962	2	1	1	1	0	0	1	0			0	0	0	0	10962	1	187.175.37.178	dsl-187-175-37-178-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-07
175	176	0	0	0		104592	2	1	1	1	0	0	1	0			0	0	0	0	104592	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-07
176	177	0	0	0		144000	2	1	1	1	0	0	1	0			0	0	0	0	144000	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-07
177	178	0	0	0		72000	2	1	1	1	0	0	1	0			0	0	0	0	72000	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-07
178	179	0	0	0		89676	2	1	1	1	0	0	1	0			0	0	0	0	89676	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-07
179	180	0	0	0		60480	2	1	1	1	0	0	1	0			0	0	0	0	60480	1	187.175.66.193	dsl-187-175-66-193-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-18
180	181	0	0	0		114762	2	1	1	1	0	0	1	0			0	0	0	0	114762	1	187.175.60.139	dsl-187-175-60-139-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-12
181	182	0	0	0		29952	2	1	1	1	0	0	1	0			0	0	0	0	29952	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-08
182	183	0	0	0		10945.38	2	1	1	1	0	0	1	0			0	0	0	0	10945.38	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-08
183	184	0	1861.78	1862		173352.2	2	1	1	1	0	0	1	0			0	0	0	0	173352.2	1	189.133.84.192	dsl-189-133-84-192-dyn.prod-infinitum.com.mx	0	1970-01-01	52	2014-08-09
184	185	0	504.15	500		111000	2	2	3	1	17	43	1	0			100	248933.25	0	0	359933.25	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-09
185	186	0	0	0		0	1	1	1	1	0	0	0	0			0	0	0	0	0	1			0	1970-01-01	0	1970-01-01
186	187	0	0	0		0	1	1	1	1	0	0	0	0			0	0	0	0	0	1			0	1970-01-01	0	1970-01-01
187	188	0	0	0		149235.72	2	1	1	1	0	0	1	0			0	0	0	0	149235.72	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-10
188	189	0	0	0		149235.72	2	1	1	1	0	0	1	0			0	0	0	0	149235.72	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-10
189	190	0	0	0		0	2	2	3	1	15	45	1	0			0	0	0	0	0	1	187.187.44.202	customer-mred-202.static.metrored.net.mx	0	1970-01-01	9	2014-08-11
190	191	0	753.26	800		84000	2	1	1	1	0	0	1	0			0	0	0	0	84000	1	189.133.132.209	dsl-189-133-132-209-dyn.prod-infinitum.com.mx	0	1970-01-01	41	2014-08-12
191	192	0	250.68	300		2237718.83	1	5	10	1	10	30	1	0			815.74	2064841.88	0	4495333.75	8797894.46	1	187.175.60.139	dsl-187-175-60-139-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-12
192	193	0	0	0		0	1	1	1	1	0	0	0	0			0	0	0	0	0	1			0	1970-01-01	0	1970-01-01
193	194	0	0	0		0	2	1	1	1	0	0	1	0			0	0	0	0	0	1	187.175.60.139	dsl-187-175-60-139-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-12
194	195	0	0	0		0	1	1	1	1	0	0	0	0			0	0	0	0	0	1			0	1970-01-01	0	1970-01-01
197	198	0	686.99	700		209370	2	1	1	1	0	0	1	0			0	0	0	0	209370	1	189.133.88.15	dsl-189-133-88-15-dyn.prod-infinitum.com.mx	0	1970-01-01	41	2014-08-27
198	199	0	803.46	800		64240	2	2	6	4	16	24	1	0			40.89	53647.68	0	0	117887.68	1	189.236.68.82	dsl-189-236-68-82-dyn.prod-infinitum.com.mx	0	1970-01-01	41	2014-08-16
199	200	0	0	0		0	1	1	1	1	0	0	0	0			0	0	0	0	0	1			0	1970-01-01	0	1970-01-01
200	201	0	0	0		0	1	1	1	1	0	0	0	0			0	0	0	0	0	1			0	1970-01-01	0	1970-01-01
201	202	0	0	0		0	1	1	1	1	0	0	0	0			0	0	0	0	0	1			0	1970-01-01	0	1970-01-01
202	203	0	7884.09	7884		815994	5	2	2	1	20	40	2	0			91.86	771003.95	0	41382	1628379.95	1	189.133.136.0	189.133.136.0	0	1970-01-01	52	2014-08-20
203	204	0	978.46	1000		787150	2	1	1	1	0	0	1	0			183.14	269215.8	0	0	1056365.8	1	187.175.37.226	dsl-187-175-37-226-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-20
205	206	0	0	0		48640	2	2	6	1	20	40	1	0			91	71406.56	0	0	120046.56	1	187.175.69.51	dsl-187-175-69-51-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-28
206	207	0	1140.05	1140		144039	1	2	3	1	1	60	2	0			156.54	607642.71	0	0	751681.71	1	187.175.69.51	dsl-187-175-69-51-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-28
207	208	0	447.47	400		320000	2	1	1	1	0	0	1	0			0	0	0	0	320000	1	187.175.69.51	dsl-187-175-69-51-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-28
208	209	0	0	0		0	7	1	5	1	0	0	1	0			0	0	0	0	0	1	177.233.66.134	host-177-233-66-134.static.metrored.net.mx	0	1970-01-01	9	2014-09-04
209	210	0	0	0		0	1	1	1	1	0	0	0	0			0	0	0	0	0	1			0	1970-01-01	0	1970-01-01
